device_id,device_type,data_type,data_size_kb,sampling_rate_hz,encryption_algorithm,key_size_bits,key_rotation_days,data_age_years,expected_retention_years,confidentiality_level,regulatory_requirement,access_frequency,risk_label,compliance_score,device_uptime_days
smart_home_sensor_00076,smart_home_sensor,temperature,8.98,0.273,RSA-2048,2048,365,2.85,1.1,low,GDPR,hourly,medium,0.8959144945901942,3290
environmental_sensor_00077,environmental_sensor,air_quality,58.92,0.042,RSA-2048,2048,90,5.55,2.2,low,None,hourly,low,0.8355066223619726,2222
health_monitor_00078,health_monitor,blood_pressure,115.86,1.736,ECC-384,384,730,0.12,27.4,critical,"HIPAA, GDPR",hourly,critical,0.7489002675277588,1044
industrial_monitor_00079,industrial_monitor,pressure,167.03,98.763,ECC-384,384,1825,4.98,8.7,high,"ISO27001, NIST",daily,high,0.881939911126603,3154
environmental_sensor_00080,environmental_sensor,co2,28.12,0.013,ECC-256,256,1825,6.02,2.2,low,None,daily,low,0.8446903051312449,3019
smart_home_sensor_00081,smart_home_sensor,humidity,13.82,0.579,RSA-2048,2048,730,1.54,3.3,low,GDPR,hourly,medium,0.7181275466620565,2597
smart_home_sensor_00082,smart_home_sensor,humidity,29.37,0.208,ECC-256,256,365,2.91,3.6,low,GDPR,daily,medium,0.8193419308309215,2024
location_tracker_00083,location_tracker,speed,42.77,0.763,ECC-256,256,365,1.11,5.0,high,"GDPR, CCPA",monthly,high,0.9816087514801497,1211
smart_home_sensor_00084,smart_home_sensor,door_status,16.55,0.614,AES-256,256,730,7.48,1.0,low,GDPR,rarely,low,0.8234434044228415,531
location_tracker_00085,location_tracker,altitude,29.68,0.268,RSA-2048,2048,30,0.73,6.7,high,"GDPR, CCPA",rarely,high,0.828824155149239,624
location_tracker_00086,location_tracker,speed,43.65,0.907,ECC-384,384,1825,7.8,6.4,high,"GDPR, CCPA",weekly,high,0.8672306678614757,431
health_monitor_00087,health_monitor,blood_pressure,86.87,6.011,RSA-2048,2048,365,1.72,29.4,critical,"HIPAA, GDPR",monthly,critical,0.7891377798054543,854
industrial_monitor_00088,industrial_monitor,temperature,110.54,55.685,RSA-2048,2048,90,6.17,5.9,high,"ISO27001, NIST",weekly,high,0.7220608096298177,3621
location_tracker_00089,location_tracker,gps_coordinates,18.49,0.579,RSA-2048,2048,90,4.43,6.8,high,"GDPR, CCPA",daily,high,0.8803795167518884,2541
environmental_sensor_00090,environmental_sensor,noise,28.22,0.083,ECC-256,256,30,1.02,4.4,low,None,weekly,medium,0.8485215081086612,2103
health_monitor_00091,health_monitor,heart_rate,124.64,8.476,RSA-2048,2048,180,7.51,13.6,critical,"HIPAA, GDPR",weekly,critical,0.9049725931199835,178
health_monitor_00092,health_monitor,temperature,36.62,7.494,ECC-256,256,180,6.38,14.0,critical,"HIPAA, GDPR",weekly,critical,0.8429237222083739,2125
environmental_sensor_00093,environmental_sensor,air_quality,47.93,0.083,RSA-4096,4096,365,2.6,4.9,low,None,daily,low,0.774200460174093,2951
industrial_monitor_00094,industrial_monitor,pressure,207.54,37.124,RSA-4096,4096,30,2.91,8.9,high,"ISO27001, NIST",daily,high,0.815312276867779,2640
environmental_sensor_00095,environmental_sensor,noise,42.06,0.031,RSA-3072,3072,180,5.06,3.7,low,None,monthly,medium,0.7040506492459927,1499
environmental_sensor_00096,environmental_sensor,air_quality,58.91,0.058,ECC-256,256,1825,6.04,5.5,low,None,weekly,medium,0.7465458828840231,2120
health_monitor_00097,health_monitor,blood_pressure,100.55,2.841,RSA-3072,3072,90,2.8,26.4,critical,"HIPAA, GDPR",monthly,critical,0.9358027002284821,3506
environmental_sensor_00098,environmental_sensor,noise,40.11,0.064,RSA-4096,4096,730,1.91,5.6,low,None,daily,low,0.9795016439561889,603
industrial_monitor_00099,industrial_monitor,flow_rate,172.58,63.86,ECC-256,256,180,2.83,6.8,high,"ISO27001, NIST",daily,high,0.8095364434513344,33
smart_home_sensor_00100,smart_home_sensor,humidity,29.88,0.653,RSA-2048,2048,90,4.93,1.1,low,GDPR,monthly,medium,0.9782363596028548,1975
industrial_monitor_00101,industrial_monitor,temperature,240.4,19.199,ECC-256,256,730,5.69,6.5,high,"ISO27001, NIST",monthly,high,0.8906412416054745,754
smart_home_sensor_00102,smart_home_sensor,temperature,25.67,0.482,ECC-384,384,1825,7.29,1.5,low,GDPR,rarely,low,0.7841394065787383,1102
environmental_sensor_00103,environmental_sensor,co2,21.98,0.086,ECC-384,384,1825,4.2,5.0,low,None,rarely,low,0.8799262336773844,1304
health_monitor_00104,health_monitor,heart_rate,109.07,4.017,RSA-2048,2048,30,1.0,18.3,critical,"HIPAA, GDPR",daily,critical,0.9424346243168179,105
industrial_monitor_00105,industrial_monitor,vibration,130.62,41.171,ECC-256,256,30,4.74,5.3,high,"ISO27001, NIST",weekly,critical,0.9357540647734833,2119
industrial_monitor_00106,industrial_monitor,vibration,159.69,25.875,RSA-3072,3072,30,2.96,10.8,high,"ISO27001, NIST",daily,critical,0.9655305492092208,361
location_tracker_00107,location_tracker,altitude,24.55,0.697,AES-256,256,30,4.5,9.0,high,"GDPR, CCPA",rarely,high,0.9361552053381783,3001
health_monitor_00108,health_monitor,spo2,38.44,6.358,ECC-256,256,180,6.42,17.0,critical,"HIPAA, GDPR",rarely,critical,0.9086626646511488,1221
health_monitor_00109,health_monitor,heart_rate,112.31,4.4,ECC-256,256,30,6.23,19.1,critical,"HIPAA, GDPR",daily,critical,0.8151103849120681,1996
location_tracker_00110,location_tracker,gps_coordinates,42.86,0.461,RSA-2048,2048,30,2.74,3.5,high,"GDPR, CCPA",weekly,high,0.7539211483501409,1359
smart_home_sensor_00111,smart_home_sensor,humidity,20.64,0.908,ECC-384,384,365,6.73,4.5,low,GDPR,hourly,low,0.7337968783748137,1738
health_monitor_00112,health_monitor,spo2,50.83,3.285,RSA-4096,4096,1825,2.78,21.4,critical,"HIPAA, GDPR",weekly,critical,0.9438012454756135,427
health_monitor_00113,health_monitor,temperature,41.55,3.144,RSA-2048,2048,1825,4.87,26.1,critical,"HIPAA, GDPR",monthly,critical,0.9300195463236649,518
location_tracker_00114,location_tracker,gps_coordinates,35.51,0.227,RSA-2048,2048,90,0.2,3.6,high,"GDPR, CCPA",rarely,critical,0.9683311172683455,2457
industrial_monitor_00115,industrial_monitor,temperature,175.94,26.329,RSA-3072,3072,90,7.29,11.2,high,"ISO27001, NIST",weekly,high,0.7211950262008018,3185
smart_home_sensor_00116,smart_home_sensor,motion,22.17,0.442,RSA-2048,2048,730,2.83,4.1,low,GDPR,hourly,medium,0.8905911338674847,2874
smart_home_sensor_00117,smart_home_sensor,temperature,30.76,0.365,ECC-256,256,30,6.96,2.9,low,GDPR,hourly,medium,0.9161404163597374,3397
smart_home_sensor_00118,smart_home_sensor,motion,25.8,0.561,ECC-256,256,30,2.14,1.6,low,GDPR,weekly,medium,0.8237665392584106,2151
location_tracker_00119,location_tracker,altitude,24.24,0.573,RSA-2048,2048,180,6.6,6.7,high,"GDPR, CCPA",daily,high,0.8594268419875749,2192
location_tracker_00120,location_tracker,gps_coordinates,42.6,0.347,ECC-256,256,90,5.79,3.7,high,"GDPR, CCPA",rarely,high,0.84896693093132,1080
industrial_monitor_00121,industrial_monitor,pressure,204.58,33.985,RSA-2048,2048,730,5.35,6.8,high,"ISO27001, NIST",rarely,high,0.830482925400982,766
health_monitor_00122,health_monitor,blood_pressure,106.01,4.639,RSA-3072,3072,90,1.41,24.8,critical,"HIPAA, GDPR",weekly,critical,0.787184929839838,2515
environmental_sensor_00123,environmental_sensor,noise,19.28,0.079,ECC-384,384,180,2.91,5.6,low,None,weekly,low,0.9967024600737238,1861
smart_home_sensor_00124,smart_home_sensor,motion,30.48,0.697,ECC-256,256,30,2.23,3.2,low,GDPR,weekly,high,0.9650112652501447,513
industrial_monitor_00125,industrial_monitor,temperature,159.3,14.628,ECC-256,256,90,5.02,9.7,high,"ISO27001, NIST",hourly,critical,0.935972248662665,238
health_monitor_00126,health_monitor,temperature,79.57,7.554,ECC-256,256,90,3.73,11.5,critical,"HIPAA, GDPR",daily,critical,0.9525600093291219,2013
environmental_sensor_00127,environmental_sensor,noise,29.06,0.073,ECC-256,256,180,2.59,6.0,low,None,hourly,medium,0.9512025497208783,1480
environmental_sensor_00128,environmental_sensor,air_quality,37.41,0.096,RSA-2048,2048,1825,7.67,5.8,low,None,rarely,medium,0.7224337924885279,1160
health_monitor_00129,health_monitor,spo2,93.17,7.517,AES-256,256,90,3.97,14.4,critical,"HIPAA, GDPR",daily,medium,0.872427340576437,472
health_monitor_00130,health_monitor,heart_rate,36.24,7.029,ECC-256,256,30,1.53,21.4,critical,"HIPAA, GDPR",daily,critical,0.8412113800581695,2585
environmental_sensor_00131,environmental_sensor,particulate_matter,60.37,0.037,AES-256,256,730,3.85,6.3,low,None,weekly,low,0.7596219875453402,1591
smart_home_sensor_00132,smart_home_sensor,motion,8.89,0.846,ECC-256,256,180,4.53,2.9,low,GDPR,weekly,medium,0.7783635899042591,2135
environmental_sensor_00133,environmental_sensor,particulate_matter,50.79,0.041,RSA-2048,2048,30,4.35,5.3,low,None,rarely,medium,0.7423903334554803,2699
smart_home_sensor_00134,smart_home_sensor,temperature,22.78,0.897,RSA-2048,2048,180,6.97,1.1,low,GDPR,rarely,medium,0.8419876350682884,3493
environmental_sensor_00135,environmental_sensor,co2,54.34,0.095,AES-256,256,365,0.52,2.4,low,None,rarely,low,0.7768985014150849,355
location_tracker_00136,location_tracker,gps_coordinates,29.04,0.623,RSA-3072,3072,1825,3.4,5.9,high,"GDPR, CCPA",rarely,high,0.7637600729993078,1753
health_monitor_00137,health_monitor,blood_pressure,76.86,1.03,RSA-2048,2048,90,2.44,14.7,critical,"HIPAA, GDPR",hourly,critical,0.864613958012467,1303
health_monitor_00138,health_monitor,heart_rate,73.07,9.89,RSA-3072,3072,365,1.82,29.0,critical,"HIPAA, GDPR",rarely,critical,0.7637945674929754,1103
environmental_sensor_00139,environmental_sensor,particulate_matter,63.15,0.063,ECC-384,384,180,7.24,6.9,low,None,monthly,low,0.87688454198107,3427
location_tracker_00140,location_tracker,speed,56.22,0.461,RSA-2048,2048,180,4.15,4.6,high,"GDPR, CCPA",daily,high,0.7466617907699798,3065
health_monitor_00141,health_monitor,blood_pressure,123.9,1.331,ECC-384,384,730,0.56,29.4,critical,"HIPAA, GDPR",hourly,critical,0.9116869039075677,1263
health_monitor_00142,health_monitor,spo2,82.4,6.375,RSA-2048,2048,180,6.09,23.9,critical,"HIPAA, GDPR",weekly,critical,0.7909602718382344,3363
industrial_monitor_00143,industrial_monitor,vibration,207.59,66.064,RSA-2048,2048,365,4.68,5.9,high,"ISO27001, NIST",hourly,critical,0.9290190672367232,1511
industrial_monitor_00144,industrial_monitor,flow_rate,234.64,21.656,AES-256,256,365,0.38,8.3,high,"ISO27001, NIST",hourly,medium,0.9389558380184996,3498
environmental_sensor_00145,environmental_sensor,particulate_matter,35.61,0.018,RSA-3072,3072,180,5.82,4.5,low,None,rarely,medium,0.9957379528446941,772
location_tracker_00146,location_tracker,gps_coordinates,63.59,0.905,RSA-2048,2048,730,3.9,7.1,high,"GDPR, CCPA",daily,high,0.7049610451281387,1771
industrial_monitor_00147,industrial_monitor,temperature,168.41,69.59,ECC-384,384,30,7.04,13.0,high,"ISO27001, NIST",monthly,high,0.9429696153790595,2046
health_monitor_00148,health_monitor,spo2,100.0,8.806,ECC-384,384,30,7.45,12.1,critical,"HIPAA, GDPR",weekly,high,0.8445669093056812,957
location_tracker_00149,location_tracker,speed,62.14,0.893,RSA-3072,3072,90,1.12,5.3,high,"GDPR, CCPA",daily,high,0.7368188174088752,878
location_tracker_00150,location_tracker,altitude,40.36,0.849,RSA-2048,2048,730,4.97,9.9,high,"GDPR, CCPA",hourly,critical,0.9273103763287115,3138
smart_home_sensor_00151,smart_home_sensor,door_status,27.65,0.108,RSA-2048,2048,180,6.11,3.2,low,GDPR,daily,medium,0.7197427257176333,798
location_tracker_00152,location_tracker,speed,20.92,0.939,ECC-384,384,365,0.64,5.1,high,"GDPR, CCPA",hourly,medium,0.9603042043296647,528
location_tracker_00153,location_tracker,altitude,38.73,0.738,RSA-2048,2048,180,6.83,9.9,high,"GDPR, CCPA",rarely,critical,0.8897133350892102,2132
location_tracker_00154,location_tracker,speed,52.4,0.217,RSA-2048,2048,180,6.59,5.6,high,"GDPR, CCPA",weekly,high,0.7566048594126633,2741
industrial_monitor_00155,industrial_monitor,vibration,94.52,10.093,RSA-3072,3072,365,3.47,9.5,high,"ISO27001, NIST",rarely,critical,0.9042660465601585,881
environmental_sensor_00156,environmental_sensor,particulate_matter,19.95,0.03,ECC-256,256,1825,1.14,6.3,low,None,monthly,medium,0.7501896352572932,1798
location_tracker_00157,location_tracker,gps_coordinates,36.15,0.949,ECC-256,256,1825,6.1,6.1,high,"GDPR, CCPA",weekly,critical,0.8696245864541949,517
health_monitor_00158,health_monitor,blood_pressure,54.08,9.047,RSA-2048,2048,30,5.25,17.4,critical,"HIPAA, GDPR",monthly,critical,0.7014936887453879,3368
industrial_monitor_00159,industrial_monitor,temperature,103.11,24.332,RSA-2048,2048,180,6.77,12.6,high,"ISO27001, NIST",weekly,critical,0.9811711655098845,823
environmental_sensor_00160,environmental_sensor,noise,59.77,0.036,AES-256,256,365,6.39,4.4,low,None,hourly,low,0.7191939628453915,2304
location_tracker_00161,location_tracker,gps_coordinates,39.6,0.28,RSA-2048,2048,1825,2.67,7.1,high,"GDPR, CCPA",weekly,high,0.9249453573459029,1977
environmental_sensor_00162,environmental_sensor,air_quality,19.48,0.011,RSA-3072,3072,1825,7.8,5.6,low,None,weekly,medium,0.9115041326774469,3567
environmental_sensor_00163,environmental_sensor,air_quality,53.43,0.087,RSA-2048,2048,1825,6.02,2.7,low,None,monthly,medium,0.8954696220584922,2855
health_monitor_00164,health_monitor,blood_pressure,79.89,2.282,ECC-256,256,365,2.83,25.5,critical,"HIPAA, GDPR",daily,critical,0.7117328970397334,1106
location_tracker_00165,location_tracker,gps_coordinates,20.22,0.566,RSA-3072,3072,30,6.61,5.5,high,"GDPR, CCPA",daily,high,0.8966533826440617,717
smart_home_sensor_00166,smart_home_sensor,humidity,27.71,0.724,RSA-2048,2048,365,0.93,3.5,low,GDPR,weekly,high,0.8838446636354529,1079
industrial_monitor_00167,industrial_monitor,vibration,182.39,63.53,ECC-256,256,30,5.7,13.7,high,"ISO27001, NIST",daily,critical,0.8897900293273628,2460
location_tracker_00168,location_tracker,altitude,45.39,0.805,RSA-3072,3072,180,7.17,6.8,high,"GDPR, CCPA",daily,high,0.8614864144891756,598
smart_home_sensor_00169,smart_home_sensor,motion,20.63,0.679,ECC-256,256,180,5.83,3.4,low,GDPR,monthly,high,0.7991351869824848,623
environmental_sensor_00170,environmental_sensor,air_quality,26.52,0.088,AES-256,256,365,5.98,6.4,low,None,rarely,low,0.7702473190460344,626
industrial_monitor_00171,industrial_monitor,temperature,202.09,59.983,RSA-2048,2048,30,4.0,5.8,high,"ISO27001, NIST",weekly,high,0.836895061919729,221
industrial_monitor_00172,industrial_monitor,pressure,69.89,16.498,RSA-2048,2048,365,1.48,14.6,high,"ISO27001, NIST",daily,critical,0.8154739129953135,3398
environmental_sensor_00173,environmental_sensor,noise,32.6,0.048,RSA-3072,3072,365,4.09,4.7,low,None,weekly,medium,0.9063156865798447,2199
health_monitor_00174,health_monitor,temperature,69.97,1.265,ECC-256,256,90,6.36,23.1,critical,"HIPAA, GDPR",weekly,critical,0.7812008888369685,3009
industrial_monitor_00175,industrial_monitor,vibration,104.45,92.113,ECC-256,256,730,5.89,6.3,high,"ISO27001, NIST",monthly,high,0.9375103191730053,3193
